['Shampoo'],"['Our gentle shampoo is powered by a blend of essential oils to nourish and cleanse your hair, rather than harsh detergents and chemicals that will strip and erode it. Our shampoo leaves hair visibly stronger and cleaner with a subtle, fresh scent - a blend of fresh grapefruit, juicy mandarin, mediterranean herbs and wood - derived from its natural active ingredients.', 'What’s in it: essential oils of orange, geranium, cinnamon, mandarin, nutmeg, petitgrain, rosewood, celery seed, grapefruit and vetiver. Carefully considered high quality, natural and healthy ingredients.', 'What’s not in it: parabens, synthetic fragrance, sodium lauryl sulfates, phthalates nor anything from formaldehyde.', 'It’s all good: We don’t believe in animal testing; this product is vegan-friendly.', 'Made in New Jersey.']","['', '$4.50', '$4.50', '$11.00', '$25.00', '$4.50']","['', '4.6 star rating\n304 Reviews']"
['Conditioner'],"['We’ve crafted our conditioner to deeply hydrate and protect hair from environmental damage using all natural ingredients and a carefully selected blend of essential oils. This conditioner makes hair noticeably softer and more manageable with a gentle citrus scent — a blend of fresh grapefruit, juicy mandarin, mediterranean herbs and wood — derived from its natural active ingredients.', 'What’s in it: essential oils of orange, geranium, cinnamon, mandarin, nutmeg, petitgrain, rosewood, celery seed, grapefruit and vetiver. Carefully considered high quality, natural and healthy ingredients.', 'What’s not in it: parabens, synthetic fragrance, sodium lauryl sulfates, phthalates nor anything from formaldehyde.', 'It’s all good: We don’t believe in animal testing; this product is vegan-friendly.', 'Made in New Jersey.']","['', '$4.50', '$4.50', '$11.00', '$4.50', '$4.50']","['', '4.5 star rating\n230 Reviews']"
['Hand Soap'],"['Our gentle liquid hand soap is powered by a blend of essential oils that is hard working on dirt but gentle on your skin. Our non-irritating formula was designed to keep skin smooth and hydrated while protecting you from germs and whatever else you may have picked up throughout the day. With a delicate scent of fresh grapefruit and juicy mandarin derived from its natural ingredients, our liquid hand soap is an elevated everyday essential.', 'What’s in it: essential oils of orange, geranium, cinnamon, mandarin, nutmeg, petitgrain, rosewood, celery seed, grapefruit and vetiver. Carefully considered high quality, natural and healthy ingredients.', 'What’s not in it: parabens, synthetic fragrance, sodium lauryl sulfates, phthalates nor anything from formaldehyde.', 'It’s all good: We don’t believe in animal testing; this product is vegan-friendly.', 'Made in New Jersey.']","['', '$4.50', '$11.00', '$8.00', '$12.00', '$4.50']","['', '4.7 star rating\n191 Reviews']"
['Tree Free Toilet Paper'],"['For us, a smarter bath tissue is all about softness and sustainability. We chose sustainable bamboo and sugarcane pulp (technically both grasses) for our tree-free toilet paper because it’s softer than paper and saves trees. The 3-ply bath tissue comes in 300 sheet rolls that will last longer than standard rolls.', 'What’s in it: 30% bamboo and 70% sugar cane. 300 sheet, 3-ply rolls that last twice as long as a normal roll.', 'What’s not in it: tree materials of any kind.', 'It’s all good: No trees or animals were harmed in the making of this product. Septic system safe.', 'Made in China. ']","['', '$6.00', '$4.50', '$11.00', '$11.00', '$1.00']","['', '4.1 star rating\n205 Reviews']"
['Bamboo Toothbrush'],"['Our bamboo toothbrushes are an environmentally-friendly, attractive upgrade to standard plastic brushes. The ergonomically designed handle gives a firm grip and our carefully selected bristles are soft on sensitive teeth and gums yet firm enough for an invigorating clean. Because the handle is 100% biodegradable, our bamboo toothbrush won’t outstay its welcome on the planet when it needs to be replaced. Bristle colors may vary. ', 'Made in China.']","['', '$4.00', '$2.50', '$5.50', '$4.25', '$4.50']","['', '4.1 star rating\n179 Reviews']"
['Hand Sanitizer - 2 oz'],"[""Our hand sanitizer keeps you clean and refreshed on the go. The powerful antiseptic properties of ethyl alcohol and glycerin are 99.9% effective against most common germs. We don't use harsh chemicals like triclosan and benzalkonium chloride. Our clear, lightly scented hand sanitizer gel goes on smooth and contains skin-loving aloe vera to moisturize and soften hands. Perfect for travel both near and far, the tiny bottle is designed to help you stay prepared for life's little messes while still looking sharp in your jacket pocket, backpack or tote."", 'What’s in it: ethyl alcohol, water, glycerin, tetrahydroxypropyl ethylenediamine, carbopol, fragrance and aloe vera gel.', 'What’s not in it: triclosan or benzalkonium chloride.', 'It’s all good: We don’t believe in animal testing; this product paraben-free.', 'Made in Illinois.', 'Please note that due to customs restrictions, we cannot ship this item internationally.']","['', '$2.00', '$6.00', '$6.25', '$4.50', '$3.00']","['', '4.7 star rating\n101 Reviews']"
['Hand Sanitizer - 2 oz'],"[""Our hand sanitizer keeps you clean and refreshed on the go. The powerful antiseptic properties of ethyl alcohol and glycerin are 99.9% effective against most common germs. We don't use harsh chemicals like triclosan and benzalkonium chloride. Our clear, lightly scented hand sanitizer gel goes on smooth and contains skin-loving aloe vera to moisturize and soften hands. Perfect for travel both near and far, the tiny bottle is designed to help you stay prepared for life's little messes while still looking sharp in your jacket pocket, backpack or tote."", 'What’s in it: ethyl alcohol, water, glycerin, tetrahydroxypropyl ethylenediamine, carbopol, fragrance and aloe vera gel.', 'What’s not in it: triclosan or benzalkonium chloride.', 'It’s all good: We don’t believe in animal testing; this product paraben-free.', 'Made in Illinois.', 'Please note that due to customs restrictions, we cannot ship this item internationally.']","['', '$2.00', '$6.00', '$6.25', '$4.50', '$3.00']","['', '4.7 star rating\n101 Reviews']"
['Hand Sanitizer Spray'],"[""Our hand sanitizer spray is made with natural, aromatherapeutic ingredients and is 99.9% effective against most common germs. Handcrafted on a farm in Colorado's High Plateau, it contains 65% organic ethyl alcohol, plus cinnamon leaf oil, and botanical essences of juniper berry, lavender, and rosebud to create a delicate, unisex, calming scent. The airy, refreshing formula goes on light and isn't sticky or oily. Our hand sanitizer spray comes in a reusable 2-ounce bottle that's at the ready when you need to disinfect doorknobs, keyboards, faucets, and of course hands."", 'What’s in it: ethyl alcohol 65%, water, bitter almond oil, essential oils of juniper, rosebud, lavender and cinnamon.', 'What’s not in it: triclosan or benzalkonium chloride.', 'It’s all good: This product is free of paraben and sulfate, vegan-friendly, cruelty-free, gluten-free and naturally fragranced.', 'Made in Colorado.', 'Please note that due to customs restrictions, we cannot ship this item internationally.']","['', '$3.75', '$11.00', '$4.50', '$7.50', '$7.50']","['', '4.6 star rating\n45 Reviews']"
['Hand Sanitizer - 12 oz'],"[""Our gentle, effective hand sanitizer is tough on germs yet safe enough for kids and those with sensitive skin. It contains FDA recommended 62% ethyl alcohol as well as glycerin and aloe vera to soften and moisturize hands. We don't use harsh chemicals like triclosan and benzalkonium chloride. Our clear, lightly scented hand sanitizer gel goes on smooth and evaporates quickly. The long-lasting 12-ounce bottle is perfect for use at home, in the car or wherever you want to stay clean and refreshed."", 'What’s in it: eythl alcohol, water, carbomer, glycerin, isopropyl myristate, fragrance, propylene glycol, isopropyl alcohol, tocopheryl acetate, aloe barbadensis leaf juice and aminomethyl propanol.', 'What’s not in it: triclosan or benzalkonium chloride.', 'It’s all good: We don’t believe in animal testing; this product is paraben-free.', 'Made in New Jersey.', 'Please note that due to customs restrictions, we cannot ship this item internationally.']","['', '$7.50', '$11.00', '$4.50', '$44.00', '$3.75']","['', '4.6 star rating\n47 Reviews']"
['Hand Soap'],"['Our gentle liquid hand soap is powered by a blend of essential oils that is hard working on dirt but gentle on your skin. Our non-irritating formula was designed to keep skin smooth and hydrated while protecting you from germs and whatever else you may have picked up throughout the day. With a delicate scent of fresh grapefruit and juicy mandarin derived from its natural ingredients, our liquid hand soap is an elevated everyday essential.', 'What’s in it: essential oils of orange, geranium, cinnamon, mandarin, nutmeg, petitgrain, rosewood, celery seed, grapefruit and vetiver. Carefully considered high quality, natural and healthy ingredients.', 'What’s not in it: parabens, synthetic fragrance, sodium lauryl sulfates, phthalates nor anything from formaldehyde.', 'It’s all good: We don’t believe in animal testing; this product is vegan-friendly.', 'Made in New Jersey.']","['', '$4.50', '$11.00', '$8.00', '$12.00', '$4.50']","['', '4.7 star rating\n191 Reviews']"
