,name,volume,cost,location of manufacture,star rating,number of reviews,core features,main ingredients
0,Shampoo,12 fl oz,4.5,Domestic,4.6,304,"'pf paraben free', 'vf vegan friendly', 'fs free of sulfate', 'gf gluten free', 'nf natural fragrance', 'cf cruelty free'","essential oils of orange, geranium, cinnamon, mandarin, nutmeg, petitgrain, rosewood, celery seed, grapefruit,vetiver"
1,Conditioner,12 fl oz,4.5,Domestic,4.5,230,"'pf paraben free', 'vf vegan friendly', 'fs free of sulfate', 'gf gluten free', 'nf natural fragrance', 'cf cruelty free'","essential oils of orange, geranium, cinnamon, mandarin, nutmeg, petitgrain, rosewood, celery seed, grapefruit,vetiver"
2,Hand Soap,12 fl oz,4.5,Domestic,4.7,191,"'pf paraben free', 'vf vegan friendly', 'fs free of sulfate', 'gf gluten free', 'nf natural fragrance', 'cf cruelty free'","essential oils of orange, geranium, cinnamon, mandarin, nutmeg, petitgrain, rosewood, celery seed, grapefruit,vetiver"
3,Tree Free Toilet Paper,6 ct,6.0,International,4.1,205,"'tf tree free', 'bb bam boo', 'bd bio degradable', 'ss septic safe'","bamboo, sugar cane"
4,Bamboo Toothbrush,2 ct,4.0,International,4.1,179,"'bb bam boo', 'bd bio degradable', 'vf vegan friendly', 'ef eco friendly'",
5,Hand Sanitizer - 2 oz,2 fl oz,2.0,Domestic,4.7,101,"'pf paraben free', 'ff fragrance free'","ethyl alcohol, water, glycerin, tetrahydroxypropyl ethylenediamine, carbopol, fragrance,aloe vera gel"
6,Hand Sanitizer - 2 oz,2 fl oz,2.0,Domestic,4.7,101,"'pf paraben free', 'ff fragrance free'","ethyl alcohol, water, glycerin, tetrahydroxypropyl ethylenediamine, carbopol, fragrance,aloe vera gel"
7,Hand Sanitizer Spray,2 fl oz,3.75,Domestic,4.6,45,"'pf paraben free', 'vf vegan friendly', 'fs free of sulfate', 'gf gluten free', 'nf natural fragrance', 'cf cruelty free'","ethyl alcohol 65%, water, bitter almond oil, essential oils of juniper, rosebud, lavender,cinnamon'"
8,Hand Sanitizer - 12 oz,12 fl oz,7.5,Domestic,4.6,47,"'pf paraben free', 'ff fragrance free'","eythl alcohol, water, carbomer, glycerin, isopropyl myristate, fragrance, propylene glycol, isopropyl alcohol, tocopheryl acetate, aloe barbadensis leaf juice,aminomethyl propanol"
9,Hand Soap,12 fl oz,4.5,Domestic,4.7,191,"'pf paraben free', 'vf vegan friendly', 'fs free of sulfate', 'gf gluten free', 'nf natural fragrance', 'cf cruelty free'","essential oils of orange, geranium, cinnamon, mandarin, nutmeg, petitgrain, rosewood, celery seed, grapefruit,vetiver"
10,Tree Free Toilet Paper,6 ct,6.0,International,4.1,205,"'tf tree free', 'bb bam boo', 'bd bio degradable', 'ss septic safe'","bamboo, sugar cane"
11,Hand Soap Refill,34 fl oz,11.0,Domestic,4.8,89,"'pf paraben free', 'vf vegan friendly', 'fs free of sulfate', 'gf gluten free', 'nf natural fragrance', 'cf cruelty free'","essential oils of orange, geranium, cinnamon, mandarin, nutmeg, petitgrain, rosewood, celery seed, grapefruit,vetiver"
12,Bar Soap,5 oz,3.0,Domestic,4.7,150,"'pf paraben free', 'vf vegan friendly', 'fs free of sulfate', 'nf natural fragrance', 'cf cruelty free', 'pf phthalate free'","essential oils of orange, geranium, cinnamon, mandarin, nutmeg, petitgrain, rosewood, celery seed, grapefruit,vetiver"
13,Travel Size Shampoo,3 fl oz,2.5,Domestic,4.6,24,"'pf paraben free', 'vf vegan friendly', 'fs free of sulfate', 'gf gluten free', 'nf natural fragrance', 'cf cruelty free'","essential oils of orange, geranium, cinnamon, mandarin, nutmeg, petitgrain, rosewood, celery seed, grapefruit,vetiver"
14,Shampoo,12 fl oz,4.5,Domestic,4.6,304,"'pf paraben free', 'vf vegan friendly', 'fs free of sulfate', 'gf gluten free', 'nf natural fragrance', 'cf cruelty free'","essential oils of orange, geranium, cinnamon, mandarin, nutmeg, petitgrain, rosewood, celery seed, grapefruit,vetiver"
15,Shampoo Refill,34 fl oz,11.0,Domestic,4.8,72,"'pf paraben free', 'vf vegan friendly', 'fs free of sulfate', 'gf gluten free', 'nf natural fragrance', 'cf cruelty free'","essential oils of orange, geranium, cinnamon, mandarin, nutmeg, petitgrain, rosewood, celery seed, grapefruit,vetiver"
16,Travel Size Conditioner,3 fl oz,2.5,Domestic,4.8,22,"'pf paraben free', 'vf vegan friendly', 'fs free of sulfate', 'gf gluten free', 'nf natural fragrance', 'cf cruelty free'","essential oils of orange, geranium, cinnamon, mandarin, nutmeg, petitgrain, rosewood, celery seed, grapefruit,vetiver"
17,Conditioner,12 fl oz,4.5,Domestic,4.5,230,"'pf paraben free', 'vf vegan friendly', 'fs free of sulfate', 'gf gluten free', 'nf natural fragrance', 'cf cruelty free'","essential oils of orange, geranium, cinnamon, mandarin, nutmeg, petitgrain, rosewood, celery seed, grapefruit,vetiver"
18,Conditioner Refill,34 fl oz,11.0,Domestic,4.7,73,"'pf paraben free', 'vf vegan friendly', 'fs free of sulfate', 'gf gluten free', 'nf natural fragrance', 'cf cruelty free'","essential oils of orange, geranium, cinnamon, mandarin, nutmeg, petitgrain, rosewood, celery seed, grapefruit,vetiver"
19,Travel Size Body Wash,3 fl oz,2.5,Domestic,4.7,23,"'pf paraben free', 'vf vegan friendly', 'fs free of sulfate', 'gf gluten free', 'nf natural fragrance', 'cf cruelty free'","essential oils of orange, geranium, cinnamon, mandarin, nutmeg, petitgrain, rosewood, celery seed, grapefruit,vetiver"
20,Body Wash,12 fl oz,4.5,Domestic,4.8,186,"'pf paraben free', 'vf vegan friendly', 'fs free of sulfate', 'gf gluten free', 'nf natural fragrance', 'cf cruelty free'","essential oils of orange, geranium, cinnamon, mandarin, nutmeg, petitgrain, rosewood, celery seed, grapefruit,vetiver"
21,Body Wash Refill,34 fl oz,11.0,Domestic,4.9,81,"'pf paraben free', 'vf vegan friendly', 'fs free of sulfate', 'gf gluten free', 'nf natural fragrance', 'cf cruelty free'","essential oils of orange, geranium, cinnamon, mandarin, nutmeg, petitgrain, rosewood, celery seed, grapefruit,vetiver"
22,Shampoo Bar,3.25 oz,5.5,Domestic,3.8,77,"'o  organic', 'pf paraben free', 'vf vegan friendly', 'fs free of sulfate', 'nf natural fragrance', 'cf cruelty free', 'ef eco friendly'","sustainably sourced organic palm,palm kernel oils, organic olive,coconut oils,,an organic lavender essential oil blend including rosemary extract,aloe vera"
23,Travel Size Lotion,3 fl oz,2.5,Domestic,4.9,28,"'pf paraben free', 'vf vegan friendly', 'fs free of sulfate', 'gf gluten free', 'nf natural fragrance', 'cf cruelty free'","essential oils from cornmint, lemon, cedar, western red cedar, eucalyptus, cedarleaf, patchouli, amyris balsamifera bark oil, lavandin, galbanum"
24,Lotion,12 fl oz,4.5,Domestic,4.4,201,"'pf paraben free', 'vf vegan friendly', 'fs free of sulfate', 'gf gluten free', 'ff fragrance free', 'cf cruelty free'","essential oils from cornmint, lemon, cedar, western red cedar, eucalyptus, cedarleaf, patchouli, amyris balsamifera bark oil, lavandin, galbanum"
25,Lotion Refill,34 fl oz,11.0,Domestic,4.7,58,"'pf paraben free', 'vf vegan friendly', 'fs free of sulfate', 'gf gluten free', 'nf natural fragrance', 'cf cruelty free'","essential oils from cornmint, lemon, cedar, western red cedar, eucalyptus, cedarleaf, patchouli, amyris balsamifera bark oil, lavandin, galbanum"
26,Facial Cleanser,5 fl oz,5.25,Domestic,4.4,167,"'pf paraben free', 'vf vegan friendly', 'fs free of sulfate', 'gf gluten free', 'nf natural fragrance', 'cf cruelty free'","peppermint, aloe,coconut"
27,Aloe Vera Gel,12 fl oz,6.0,Domestic,4.6,26,"'pf paraben free', 'vf vegan friendly', 'ff fragrance free'","organic aloe barbadensis leaf juice, xanthan gum, sodium benzoate, citric acid,potassium sorbate'"
28,Travel Size Facial Moisturizer,3 fl oz,2.5,Domestic,4.2,23,"'pf paraben free', 'vf vegan friendly', 'fs free of sulfate', 'gf gluten free', 'nf natural fragrance', 'cf cruelty free'",
29,Facial Moisturizer,4 fl oz,4.0,Domestic,4.5,150,"'pf paraben free', 'vf vegan friendly', 'fs free of sulfate', 'gf gluten free', 'nf natural fragrance', 'cf cruelty free'",
30,Moisturizer Refill,34 fl oz,22.0,Domestic,4.6,29,"'pf paraben free', 'vf vegan friendly', 'fs free of sulfate', 'gf gluten free', 'nf natural fragrance', 'cf cruelty free'",
31,Witch Hazel Toner,12 fl oz,5.0,Domestic,4.7,55,"'pf paraben free', 'vf vegan friendly', 'fs free of sulfate', 'nf natural fragrance'","witch hazel,organic aloe vera"
32,Ayate Washcloth,1 ct,6.0,International,4.8,172,"'bd bio degradable', 'an all natural', 'ef eco friendly'",100% natural agave
33,Ayate Bath Strip,1 ct,11.0,International,4.6,51,"'bd bio degradable', 'an all natural', 'ef eco friendly'",100% natural agave fiber
34,Bamboo Wet Wipes,50 ct,3.75,Domestic,4.7,69,"'tf tree free', 'bb bam boo', 'bd bio degradable', 'vf vegan friendly', 'fs free of sulfate', 'cf cruelty free', 'bs baby safe', 'an all natural', 'ef eco friendly'","bamboo, aloe, vitamin E, cucumber extract, marshmallow extract, oat extract,chamomile extract"
35,Sanitizing Lavender Wipes - 30 ct,30 ct,4.0,Domestic,4.6,9,"'pf paraben free', 'fs free of sulfate', 'cf cruelty free', 'ef eco friendly'","Antimicrobial ethyl alcohol (65%), lavender oil, cucumber, chamomile flower,,white tea"
36,Sanitizing Lavender Wipes - 80 ct,80 ct,9.0,Domestic,4.7,11,"'pf paraben free', 'fs free of sulfate', 'cf cruelty free', 'ef eco friendly'","Antimicrobial ethyl alcohol (65%), lavender oil, aloe, cucumber, chamomile flower,,white tea"
37,Dental Floss Refills,3 ct,5.5,International,4.6,76,"'bd bio degradable', 'nf natural fragrance'","3 refill spools, real silk, peppermint candelilla wax, natural,safe ingredients"
38,Bamboo Toothbrush,2 ct,4.0,International,4.1,179,"'bb bam boo', 'bd bio degradable', 'vf vegan friendly', 'ef eco friendly'",
39,Toothpaste,6 oz,5.5,Domestic,4.5,86,"'pf paraben free', 'vf vegan friendly', 'fs free of sulfate', 'gf gluten free', 'nf natural fragrance', 'cf cruelty free'","fresh peppermint for taste, carefully considered high quality, natural,healthy ingredients"
40,Razor Blades,4 ct,1.0,International,3.1,250,,
41,Bamboo Razor Handle,1 ct,11.0,International,4.1,186,,
